Government level,State/UT,Ministry,Department,Category,Source name,Official URL,API URL,Has API,Formats,Has schemes,Has facility DB,Has registration data,Data fields,Update frequency,Reuse/licensing,Access method,Research status,Notes,Last checked
central,,Ministry of Health & Family Welfare,National Mental Health Programme / Tele-MANAS,mixed,MoHFW — Mental Health,https://www.mohfw.gov.in,,N,html; pdf,Y,Y,N,Mental health programmes; Tele-MANAS (14416); Hospitals/facilities,,Confirm.,Portal,partial,National Mental Health Programme; Tele-MANAS helpline 14416.,2026-08-09
central,,Ministry of Rural Development,Ministry of Rural Development,schemes,Ministry of Rural Development,https://rural.nic.in,,N,html,Y,N,N,Ministry schemes & programmes (to be inventoried),,,Portal,partial,Named in memory.md. Inventory relevant schemes/datasets for target beneficiary groups.,2026-08-09
central,,Ministry of Housing & Urban Affairs,Ministry of Housing & Urban Affairs,schemes,Ministry of Housing & Urban Affairs,https://mohua.gov.in,,N,html,Y,N,N,Ministry schemes & programmes (to be inventoried),,,Portal,partial,Named in memory.md. Inventory relevant schemes/datasets for target beneficiary groups.,2026-08-09
central,,Ministry of Labour & Employment,Ministry of Labour & Employment,schemes,Ministry of Labour & Employment,https://labour.gov.in,,N,html,Y,N,N,Ministry schemes & programmes (to be inventoried),,,Portal,partial,Named in memory.md. Inventory relevant schemes/datasets for target beneficiary groups.,2026-08-09
central,,Ministry of Tribal Affairs,Ministry of Tribal Affairs,schemes,Ministry of Tribal Affairs,https://tribal.nic.in,,N,html,Y,N,N,Ministry schemes & programmes (to be inventoried),,,Portal,partial,Named in memory.md. Inventory relevant schemes/datasets for target beneficiary groups.,2026-08-09
central,,Ministry of Minority Affairs,Ministry of Minority Affairs,schemes,Ministry of Minority Affairs,https://minorityaffairs.gov.in,,N,html,Y,N,N,Ministry schemes & programmes (to be inventoried),,,Portal,partial,Named in memory.md. Inventory relevant schemes/datasets for target beneficiary groups.,2026-08-09
central,,Ministry of Education,Ministry of Education,schemes,Ministry of Education,https://www.education.gov.in,,N,html,Y,N,N,Ministry schemes & programmes (to be inventoried),,,Portal,partial,Named in memory.md. Inventory relevant schemes/datasets for target beneficiary groups.,2026-08-09
central,,Ministry of Ayush,Ministry of Ayush,schemes,Ministry of Ayush,https://ayush.gov.in,,N,html,Y,N,N,Ministry schemes & programmes (to be inventoried),,,Portal,partial,Named in memory.md. Inventory relevant schemes/datasets for target beneficiary groups.,2026-08-09
central,,Ministry of Skill Development & Entrepreneurship,Ministry of Skill Development & Entrepreneurship,schemes,Ministry of Skill Development & Entrepreneurship,https://www.msde.gov.in,,N,html,Y,N,N,Ministry schemes & programmes (to be inventoried),,,Portal,partial,Named in memory.md. Inventory relevant schemes/datasets for target beneficiary groups.,2026-08-09
state,Uttar Pradesh,,Social Welfare Dept. — Integrated Pension Portal (SSPY),schemes,UP SSPY (Samajik Suraksha Pension Yojana),https://sspy-up.gov.in,,N,html,Y,N,Y,Old-age pension; Widow (Nirashrit Mahila) pension; Disability pension; Beneficiary lists (district/block),Ongoing,Public beneficiary lists; confirm bulk reuse.,Portal (pension application + beneficiary search),researched,"Single portal for UP old-age, widow (Nirashrit Mahila) and disability pensions. Pilot priority for senior + widow groups.",2026-08-09
state,Uttar Pradesh,,Dept. of Women & Child Development / Bal Vikas Seva Evam Pushtahar,mixed,UP Women & Child Development,https://balvikasup.gov.in,,N,html; pdf,Y,Y,Y,Child Care Institutions; Sponsorship/Foster care; Women & child schemes,,Confirm.,Portal + PDF,partial,UP CCIs & child/women schemes (Mission Vatsalya + Mission Shakti at state level). Confirm exact portal URL.,2026-08-09
state,Uttar Pradesh,,Dept. for the Empowerment of Persons with Disabilities (Divyangjan),mixed,UP Divyangjan Sashaktikaran Vibhag,https://divyangjan.upsdc.gov.in,,N,html,Y,Y,N,Disability pension/schemes; DDRCs; Special schools,,Confirm.,Portal,partial,UP disability schemes and facilities. Confirm portal URL & datasets.,2026-08-09
state,Andhra Pradesh,,Social Welfare Department,mixed,Andhra Pradesh — Social Welfare Department,,,N,,Y,Y,N,Old-age/widow/disability pensions; Old-age homes; Welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Andhra Pradesh,,Women & Child Development Department,mixed,Andhra Pradesh — Women & Child Development Department,,,N,,Y,Y,Y,Child Care Institutions; One Stop Centres; Women & child schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Andhra Pradesh,,Health & Family Welfare Department,facilities,Andhra Pradesh — Health & Family Welfare Department,,,N,,Y,Y,N,Hospitals; Mental health facilities; Health schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Andhra Pradesh,,Disability / Divyangjan Commissionerate,mixed,Andhra Pradesh — Disability / Divyangjan Commissionerate,,,N,,Y,Y,N,DDRCs; Special schools; Disability certificates & schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Andhra Pradesh,,Rural Development Department,schemes,Andhra Pradesh — Rural Development Department,,,N,,Y,N,N,NSAP pension implementation; Rural welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Andhra Pradesh,,Urban Development / Municipal (Homeless Shelters),facilities,Andhra Pradesh — Urban Development / Municipal (Homeless Shelters),,,N,,N,Y,N,Shelters for Urban Homeless (DAY-NULM); Night shelters,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Arunachal Pradesh,,Social Welfare Department,mixed,Arunachal Pradesh — Social Welfare Department,,,N,,Y,Y,N,Old-age/widow/disability pensions; Old-age homes; Welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Arunachal Pradesh,,Women & Child Development Department,mixed,Arunachal Pradesh — Women & Child Development Department,,,N,,Y,Y,Y,Child Care Institutions; One Stop Centres; Women & child schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Arunachal Pradesh,,Health & Family Welfare Department,facilities,Arunachal Pradesh — Health & Family Welfare Department,,,N,,Y,Y,N,Hospitals; Mental health facilities; Health schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Arunachal Pradesh,,Disability / Divyangjan Commissionerate,mixed,Arunachal Pradesh — Disability / Divyangjan Commissionerate,,,N,,Y,Y,N,DDRCs; Special schools; Disability certificates & schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Arunachal Pradesh,,Rural Development Department,schemes,Arunachal Pradesh — Rural Development Department,,,N,,Y,N,N,NSAP pension implementation; Rural welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Arunachal Pradesh,,Urban Development / Municipal (Homeless Shelters),facilities,Arunachal Pradesh — Urban Development / Municipal (Homeless Shelters),,,N,,N,Y,N,Shelters for Urban Homeless (DAY-NULM); Night shelters,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Assam,,Social Welfare Department,mixed,Assam — Social Welfare Department,,,N,,Y,Y,N,Old-age/widow/disability pensions; Old-age homes; Welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Assam,,Women & Child Development Department,mixed,Assam — Women & Child Development Department,,,N,,Y,Y,Y,Child Care Institutions; One Stop Centres; Women & child schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Assam,,Health & Family Welfare Department,facilities,Assam — Health & Family Welfare Department,,,N,,Y,Y,N,Hospitals; Mental health facilities; Health schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Assam,,Disability / Divyangjan Commissionerate,mixed,Assam — Disability / Divyangjan Commissionerate,,,N,,Y,Y,N,DDRCs; Special schools; Disability certificates & schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Assam,,Rural Development Department,schemes,Assam — Rural Development Department,,,N,,Y,N,N,NSAP pension implementation; Rural welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Assam,,Urban Development / Municipal (Homeless Shelters),facilities,Assam — Urban Development / Municipal (Homeless Shelters),,,N,,N,Y,N,Shelters for Urban Homeless (DAY-NULM); Night shelters,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Bihar,,Social Welfare Department,mixed,Bihar — Social Welfare Department,,,N,,Y,Y,N,Old-age/widow/disability pensions; Old-age homes; Welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Bihar,,Women & Child Development Department,mixed,Bihar — Women & Child Development Department,,,N,,Y,Y,Y,Child Care Institutions; One Stop Centres; Women & child schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Bihar,,Health & Family Welfare Department,facilities,Bihar — Health & Family Welfare Department,,,N,,Y,Y,N,Hospitals; Mental health facilities; Health schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Bihar,,Disability / Divyangjan Commissionerate,mixed,Bihar — Disability / Divyangjan Commissionerate,,,N,,Y,Y,N,DDRCs; Special schools; Disability certificates & schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Bihar,,Rural Development Department,schemes,Bihar — Rural Development Department,,,N,,Y,N,N,NSAP pension implementation; Rural welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Bihar,,Urban Development / Municipal (Homeless Shelters),facilities,Bihar — Urban Development / Municipal (Homeless Shelters),,,N,,N,Y,N,Shelters for Urban Homeless (DAY-NULM); Night shelters,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Chhattisgarh,,Social Welfare Department,mixed,Chhattisgarh — Social Welfare Department,,,N,,Y,Y,N,Old-age/widow/disability pensions; Old-age homes; Welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Chhattisgarh,,Women & Child Development Department,mixed,Chhattisgarh — Women & Child Development Department,,,N,,Y,Y,Y,Child Care Institutions; One Stop Centres; Women & child schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Chhattisgarh,,Health & Family Welfare Department,facilities,Chhattisgarh — Health & Family Welfare Department,,,N,,Y,Y,N,Hospitals; Mental health facilities; Health schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Chhattisgarh,,Disability / Divyangjan Commissionerate,mixed,Chhattisgarh — Disability / Divyangjan Commissionerate,,,N,,Y,Y,N,DDRCs; Special schools; Disability certificates & schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Chhattisgarh,,Rural Development Department,schemes,Chhattisgarh — Rural Development Department,,,N,,Y,N,N,NSAP pension implementation; Rural welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Chhattisgarh,,Urban Development / Municipal (Homeless Shelters),facilities,Chhattisgarh — Urban Development / Municipal (Homeless Shelters),,,N,,N,Y,N,Shelters for Urban Homeless (DAY-NULM); Night shelters,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Goa,,Social Welfare Department,mixed,Goa — Social Welfare Department,,,N,,Y,Y,N,Old-age/widow/disability pensions; Old-age homes; Welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Goa,,Women & Child Development Department,mixed,Goa — Women & Child Development Department,,,N,,Y,Y,Y,Child Care Institutions; One Stop Centres; Women & child schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Goa,,Health & Family Welfare Department,facilities,Goa — Health & Family Welfare Department,,,N,,Y,Y,N,Hospitals; Mental health facilities; Health schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Goa,,Disability / Divyangjan Commissionerate,mixed,Goa — Disability / Divyangjan Commissionerate,,,N,,Y,Y,N,DDRCs; Special schools; Disability certificates & schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Goa,,Rural Development Department,schemes,Goa — Rural Development Department,,,N,,Y,N,N,NSAP pension implementation; Rural welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Goa,,Urban Development / Municipal (Homeless Shelters),facilities,Goa — Urban Development / Municipal (Homeless Shelters),,,N,,N,Y,N,Shelters for Urban Homeless (DAY-NULM); Night shelters,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Gujarat,,Social Welfare Department,mixed,Gujarat — Social Welfare Department,,,N,,Y,Y,N,Old-age/widow/disability pensions; Old-age homes; Welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Gujarat,,Women & Child Development Department,mixed,Gujarat — Women & Child Development Department,,,N,,Y,Y,Y,Child Care Institutions; One Stop Centres; Women & child schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Gujarat,,Health & Family Welfare Department,facilities,Gujarat — Health & Family Welfare Department,,,N,,Y,Y,N,Hospitals; Mental health facilities; Health schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Gujarat,,Disability / Divyangjan Commissionerate,mixed,Gujarat — Disability / Divyangjan Commissionerate,,,N,,Y,Y,N,DDRCs; Special schools; Disability certificates & schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Gujarat,,Rural Development Department,schemes,Gujarat — Rural Development Department,,,N,,Y,N,N,NSAP pension implementation; Rural welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Gujarat,,Urban Development / Municipal (Homeless Shelters),facilities,Gujarat — Urban Development / Municipal (Homeless Shelters),,,N,,N,Y,N,Shelters for Urban Homeless (DAY-NULM); Night shelters,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Haryana,,Social Welfare Department,mixed,Haryana — Social Welfare Department,,,N,,Y,Y,N,Old-age/widow/disability pensions; Old-age homes; Welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Haryana,,Women & Child Development Department,mixed,Haryana — Women & Child Development Department,,,N,,Y,Y,Y,Child Care Institutions; One Stop Centres; Women & child schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Haryana,,Health & Family Welfare Department,facilities,Haryana — Health & Family Welfare Department,,,N,,Y,Y,N,Hospitals; Mental health facilities; Health schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Haryana,,Disability / Divyangjan Commissionerate,mixed,Haryana — Disability / Divyangjan Commissionerate,,,N,,Y,Y,N,DDRCs; Special schools; Disability certificates & schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Haryana,,Rural Development Department,schemes,Haryana — Rural Development Department,,,N,,Y,N,N,NSAP pension implementation; Rural welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Haryana,,Urban Development / Municipal (Homeless Shelters),facilities,Haryana — Urban Development / Municipal (Homeless Shelters),,,N,,N,Y,N,Shelters for Urban Homeless (DAY-NULM); Night shelters,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Himachal Pradesh,,Social Welfare Department,mixed,Himachal Pradesh — Social Welfare Department,,,N,,Y,Y,N,Old-age/widow/disability pensions; Old-age homes; Welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Himachal Pradesh,,Women & Child Development Department,mixed,Himachal Pradesh — Women & Child Development Department,,,N,,Y,Y,Y,Child Care Institutions; One Stop Centres; Women & child schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Himachal Pradesh,,Health & Family Welfare Department,facilities,Himachal Pradesh — Health & Family Welfare Department,,,N,,Y,Y,N,Hospitals; Mental health facilities; Health schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Himachal Pradesh,,Disability / Divyangjan Commissionerate,mixed,Himachal Pradesh — Disability / Divyangjan Commissionerate,,,N,,Y,Y,N,DDRCs; Special schools; Disability certificates & schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Himachal Pradesh,,Rural Development Department,schemes,Himachal Pradesh — Rural Development Department,,,N,,Y,N,N,NSAP pension implementation; Rural welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Himachal Pradesh,,Urban Development / Municipal (Homeless Shelters),facilities,Himachal Pradesh — Urban Development / Municipal (Homeless Shelters),,,N,,N,Y,N,Shelters for Urban Homeless (DAY-NULM); Night shelters,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Jharkhand,,Social Welfare Department,mixed,Jharkhand — Social Welfare Department,,,N,,Y,Y,N,Old-age/widow/disability pensions; Old-age homes; Welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Jharkhand,,Women & Child Development Department,mixed,Jharkhand — Women & Child Development Department,,,N,,Y,Y,Y,Child Care Institutions; One Stop Centres; Women & child schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Jharkhand,,Health & Family Welfare Department,facilities,Jharkhand — Health & Family Welfare Department,,,N,,Y,Y,N,Hospitals; Mental health facilities; Health schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Jharkhand,,Disability / Divyangjan Commissionerate,mixed,Jharkhand — Disability / Divyangjan Commissionerate,,,N,,Y,Y,N,DDRCs; Special schools; Disability certificates & schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Jharkhand,,Rural Development Department,schemes,Jharkhand — Rural Development Department,,,N,,Y,N,N,NSAP pension implementation; Rural welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Jharkhand,,Urban Development / Municipal (Homeless Shelters),facilities,Jharkhand — Urban Development / Municipal (Homeless Shelters),,,N,,N,Y,N,Shelters for Urban Homeless (DAY-NULM); Night shelters,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Karnataka,,Social Welfare Department,mixed,Karnataka — Social Welfare Department,,,N,,Y,Y,N,Old-age/widow/disability pensions; Old-age homes; Welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Karnataka,,Women & Child Development Department,mixed,Karnataka — Women & Child Development Department,,,N,,Y,Y,Y,Child Care Institutions; One Stop Centres; Women & child schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Karnataka,,Health & Family Welfare Department,facilities,Karnataka — Health & Family Welfare Department,,,N,,Y,Y,N,Hospitals; Mental health facilities; Health schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Karnataka,,Disability / Divyangjan Commissionerate,mixed,Karnataka — Disability / Divyangjan Commissionerate,,,N,,Y,Y,N,DDRCs; Special schools; Disability certificates & schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Karnataka,,Rural Development Department,schemes,Karnataka — Rural Development Department,,,N,,Y,N,N,NSAP pension implementation; Rural welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Karnataka,,Urban Development / Municipal (Homeless Shelters),facilities,Karnataka — Urban Development / Municipal (Homeless Shelters),,,N,,N,Y,N,Shelters for Urban Homeless (DAY-NULM); Night shelters,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Kerala,,Social Welfare Department,mixed,Kerala — Social Welfare Department,,,N,,Y,Y,N,Old-age/widow/disability pensions; Old-age homes; Welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Kerala,,Women & Child Development Department,mixed,Kerala — Women & Child Development Department,,,N,,Y,Y,Y,Child Care Institutions; One Stop Centres; Women & child schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Kerala,,Health & Family Welfare Department,facilities,Kerala — Health & Family Welfare Department,,,N,,Y,Y,N,Hospitals; Mental health facilities; Health schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Kerala,,Disability / Divyangjan Commissionerate,mixed,Kerala — Disability / Divyangjan Commissionerate,,,N,,Y,Y,N,DDRCs; Special schools; Disability certificates & schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Kerala,,Rural Development Department,schemes,Kerala — Rural Development Department,,,N,,Y,N,N,NSAP pension implementation; Rural welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Kerala,,Urban Development / Municipal (Homeless Shelters),facilities,Kerala — Urban Development / Municipal (Homeless Shelters),,,N,,N,Y,N,Shelters for Urban Homeless (DAY-NULM); Night shelters,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Madhya Pradesh,,Social Welfare Department,mixed,Madhya Pradesh — Social Welfare Department,,,N,,Y,Y,N,Old-age/widow/disability pensions; Old-age homes; Welfare schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Madhya Pradesh,,Women & Child Development Department,mixed,Madhya Pradesh — Women & Child Development Department,,,N,,Y,Y,Y,Child Care Institutions; One Stop Centres; Women & child schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Madhya Pradesh,,Health & Family Welfare Department,facilities,Madhya Pradesh — Health & Family Welfare Department,,,N,,Y,Y,N,Hospitals; Mental health facilities; Health schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
state,Madhya Pradesh,,Disability / Divyangjan Commissionerate,mixed,Madhya Pradesh — Disability / Divyangjan Commissionerate,,,N,,Y,Y,N,DDRCs; Special schools; Disability certificates & schemes,,,,skeleton,"To research: confirm official portal URL, datasets, formats, reuse/licensing terms.",
